city,name,room_type,price,minimum_nights,num_reviews,house_rules,maximum_occupancy
Daytona Beach,Private room near columbia,Private room,420.0,1.0,1.0,No visitors,1
Lincoln,Sun 2br apartment in neighborhood,Entire home/apt,495.0,1.0,2.0,No children under 10 & No smoking & No parties,3
Ogden,Home away from home in the neighborhood.,Entire home/apt,148.0,2.0,2.0,No children under 10 & No pets,2
Hancock,Apartment available in bay ridge city,Shared room,479.0,1.0,2.0,No children under 10 & No parties,1
Williston,"Cozy railroad apartment in neighborhood, bk",Entire home/apt,1009.0,1.0,3.0,No smoking,7
Latrobe,An urban nest; 7 minutes from park,Entire home/apt,437.0,5.0,3.0,No children under 10 & No visitors & No parties,3
Evansville,Stylish 1 bed room in the neighborhood,Entire home/apt,674.0,3.0,3.0,No children under 10,6
Montgomery,On a budget cozy in city in city,Private room,99.0,3.0,3.0,No visitors & No parties,1
Syracuse,The gramercy east,Entire home/apt,1031.0,2.0,4.0,No parties & No pets,3
Albuquerque,Charming neighborhood apartment,Entire home/apt,722.0,2.0,5.0,No visitors & No parties & No children under 10,7
Orlando,Private furnished bedroom in neighborhood,Private room,179.0,5.0,2.0,No parties & No smoking & No children under 10,1
Bethel,City whole apt.  dec 26th- feb 3rd,Entire home/apt,1069.0,14.0,1.0,No children under 10,5
Miami,Simple and clean bedroom with good view and light,Private room,669.0,1.0,5.0,No children under 10,2
Martha's Vineyard,Doorman gym 2 beds luxury building!5211,Private room,1041.0,30.0,5.0,No parties & No visitors,2
Durango,Lux 1br in the heart of city theater district!,Entire home/apt,81.0,30.0,4.0,No children under 10,3
Latrobe,Private bedroom with queen bed and  single bed.,Private room,935.0,1.0,1.0,No visitors,1
Tampa,Lovely guestroom in elevator building,Private room,359.0,2.0,1.0,No smoking & No visitors & No parties,2
Manhattan,Cute 1 bdrm in shared crown heights apt w backyard,Private room,574.0,1.0,2.0,No visitors,2
Atlantic City,Spacious 1 bd w/washer dryer in ues,Entire home/apt,499.0,2.0,2.0,No parties & No children under 10 & No visitors,4
Florence,"166 reviews, single-family house",Entire home/apt,426.0,2.0,3.0,No parties & No children under 10,3
Tyler,Elegant room in city only for woman,Private room,1130.0,1.0,2.0,No visitors,1
Baton Rouge,Huge queen room in 1500 sqft wburg ballroom apt,Private room,478.0,4.0,5.0,No parties,1
Redding,**cozy space - private access**,Private room,954.0,2.0,4.0,No smoking & No children under 10,1
Twin Falls,M1 twin couch bed sleeps 1 guest,Shared room,608.0,1.0,2.0,No children under 10 & No pets,1
Hagerstown,3br modern upper west cpw w/doorman,Entire home/apt,442.0,3.0,1.0,No pets & No children under 10 & No parties,3
Charlotte,Cute neighborhood room,Private room,335.0,3.0,2.0,No children under 10 & No pets,1
Savannah,Cosy inwood apartment,Private room,413.0,1.0,4.0,No children under 10,1
Redding,3 bedroom cozy apartmnet,Entire home/apt,724.0,4.0,3.0,No smoking & No pets & No parties,4
Riverton,Room with a private bathroom,Private room,863.0,1.0,3.0,No smoking & No parties & No children under 10,2
Wrangell,Neighborhood apartment,Private room,286.0,10.0,2.0,No pets & No parties,1
Santa Fe,Garage designer loft,Entire home/apt,233.0,2.0,4.0,No smoking,3
Cape Girardeau,Cozy apartment near airport,Entire home/apt,59.0,7.0,2.0,No visitors,3
Scottsbluff,New! beautiful room in flat w/ rooftop in soho :),Private room,668.0,4.0,4.0,No children under 10,2
Cedar Rapids,Affordable private cozy room!,Private room,513.0,3.0,1.0,No pets,1
Allentown,Comfortable and modern one bedroom in neighborhood west,Entire home/apt,731.0,5.0,3.0,No pets,5
Hyannis,Sun bedroom at the heart of neighborhood,Private room,518.0,5.0,2.0,No smoking,1
New Orleans,Nice clean official cozy suite 2 in city,Private room,413.0,3.0,4.0,No pets,2
Butte,Your absolute best city experience!!!,Entire home/apt,936.0,2.0,4.0,No pets,2
St. Cloud,Bright neighborhood entire 2 bedroom apartment,Entire home/apt,638.0,3.0,3.0,No smoking & No parties,4
Deadhorse,Comfy one bedroom with backyard,Entire home/apt,252.0,3.0,5.0,No pets,3
Harlingen,"Large, beautiful room near neighborhood",Private room,978.0,5.0,1.0,No children under 10,1
Lansing,2 bedroom apartment in neighborhood,Entire home/apt,943.0,1.0,4.0,No parties & No pets,7
Redding,Private room in a peaceful home ❤,Private room,918.0,1.0,1.0,No parties & No visitors,2
Seattle,Shared apartment by downtownuare city,Shared room,1050.0,1.0,4.0,No visitors & No pets & No smoking,1
Manhattan,Light-filled south slope nest!,Entire home/apt,790.0,2.0,2.0,No parties,6
Deadhorse,Beautiful room in a classic neighborhood neighborhood!,Private room,788.0,3.0,5.0,No pets,2
Petersburg,Charming cozy bedroom in clinton hill!,Private room,274.0,3.0,5.0,No smoking & No parties & No pets,2
Lincoln,Wburg priv room. great transport & local amenities,Private room,635.0,1.0,4.0,No children under 10,2
Mason City,Sun & quiet 2br in great location,Entire home/apt,138.0,4.0,3.0,No pets & No children under 10,3
Charleston,2 bedroom apartment in prime neighborhood west,Entire home/apt,1121.0,3.0,3.0,No smoking & No children under 10,3
Montrose,Neighborhood abode,Private room,1122.0,3.0,2.0,No children under 10,2
White Plains,Private room in historic queens ,Private room,865.0,2.0,1.0,No parties & No smoking,2
Lihue,Cozy bedroom in diverse neighborhood near airport,Private room,902.0,2.0,2.0,No pets & No parties,2
Grand Forks,1 br and a sleeper sofa,Entire home/apt,258.0,5.0,2.0,No visitors & No children under 10,3
Los Angeles,Neighborhood east 2 bed/2 bath elevator building apt,Entire home/apt,540.0,7.0,3.0,No pets,4
Hartford,Amazing apartment with great views,Entire home/apt,924.0,3.0,2.0,No smoking & No children under 10,4
Kearney,Beautiful beach  & great space,Private room,1107.0,2.0,3.0,No visitors,2
Brownsville,Boho chic apartment in the heart of city,Entire home/apt,615.0,2.0,4.0,No smoking,6
Joplin,Elegant apartment with spectacular views.,Shared room,236.0,1.0,3.0,No children under 10 & No pets & No parties,1
Boston,Welcome to yurt -- private room in neighborhood,Private room,229.0,7.0,4.0,No children under 10 & No smoking,2
Alamosa,Comfortable studio suite in neighborhood city,Entire home/apt,67.0,30.0,3.0,No parties & No smoking & No visitors,2
Palm Springs,City gem,Entire home/apt,877.0,2.0,4.0,No children under 10,4
Fort Lauderdale,Great 3 bedroom apartment - incredible location,Entire home/apt,685.0,25.0,5.0,No parties & No children under 10,4
Buffalo,Cozy studio in heart of ft greene,Entire home/apt,200.0,4.0,5.0,No pets & No children under 10,3
Minot,Luxury home near city bridge,Private room,84.0,1.0,5.0,No pets,2
College Station,Cozy city nook,Private room,372.0,1.0,5.0,No pets & No smoking & No parties,2
Charlottesville,Gorgeous natural light in neighborhood photo studio,Entire home/apt,1094.0,1.0,2.0,No pets,8
Detroit,Comfy king bed feet from subway,Private room,568.0,3.0,5.0,No parties,1
Hilo,Ditmas park beauty,Entire home/apt,972.0,3.0,5.0,No smoking & No pets,3
Ponce,Private 3a room in 4br/2ba apt in hell's kitchen,Private room,967.0,1.0,5.0,No visitors & No pets,2
Grand Junction,City apartment near park!,Entire home/apt,1118.0,3.0,5.0,No children under 10,5
Bakersfield,Dadukes dreams,Private room,491.0,1.0,2.0,No visitors,2
Greer,"Beautiful, clean, private & chic furnished apt.",Entire home/apt,223.0,4.0,3.0,No smoking,2
Stockton,"Waterfront, perfect city getaway!",Entire home/apt,607.0,2.0,4.0,No parties & No children under 10,6
Manchester,Onderdonk hotel studio,Private room,544.0,2.0,4.0,No visitors & No pets & No parties,1
Punta Gorda,The hipster apartment in the hipster borough,Private room,320.0,4.0,3.0,No smoking,2
Daytona Beach,"Homey 1br in fun, central neighborhood w/ doorman by blueground",Entire home/apt,262.0,30.0,4.0,No parties,2
Montrose,Room in huge 1200sf w neighborhood suite,Private room,764.0,3.0,3.0,No parties & No visitors,2
Great Falls,Sun room in neighborhood - 1 block to metro!!,Private room,880.0,2.0,2.0,No pets,1
Dothan,Perfect neighborhood room!,Private room,1080.0,14.0,5.0,No parties & No children under 10,2
Portsmouth,The justice tower 1,Private room,454.0,2.0,2.0,No smoking,2
Baltimore,"Beautiful double room - heart of clinton hill, bk",Private room,658.0,1.0,3.0,No smoking & No children under 10 & No parties,2
Muskegon,East neighborhood/neighborhood loft,Private room,694.0,1.0,5.0,No children under 10 & No parties,2
Houston,Sun and airy near city,Entire home/apt,499.0,2.0,5.0,No pets,4
Sioux City,"Cozy park slope apt, next to bbg",Entire home/apt,664.0,30.0,2.0,No children under 10,2
Saipan,"Fabulous large 1 bed in riverdale, bronx city",Entire home/apt,246.0,14.0,1.0,No children under 10 & No visitors,3
Cincinnati,"Spacious, bright room, prime neighborhood location",Private room,900.0,3.0,4.0,No visitors,2
Charleston,Bronx roon,Private room,127.0,2.0,2.0,No visitors & No children under 10,2
Santa Fe,Luminous and spacious private room,Private room,151.0,5.0,5.0,No children under 10,1
Christiansted,Beautiful loft in les city!,Entire home/apt,484.0,3.0,5.0,No visitors & No smoking,2
Sioux Falls,Downtownuare river view,Private room,131.0,2.0,3.0,No parties,1
Traverse City,Heart of soho! cute studio with clean finishes!,Entire home/apt,969.0,4.0,4.0,No parties,2
Buffalo,Yankee baseball stay,Private room,911.0,1.0,5.0,No visitors,1
Santa Ana,"Full 1-br apartment - sun, cozy, and eclectic!",Entire home/apt,522.0,4.0,3.0,No children under 10 & No smoking,2
North Bend,Comfort,Entire home/apt,151.0,2.0,4.0,No children under 10,2
Myrtle Beach,Cozy city room - next to pratt institute,Private room,418.0,5.0,2.0,No smoking & No children under 10 & No pets,2
Ogdensburg,Modern 1br in sutton place by sonder,Entire home/apt,384.0,29.0,3.0,No children under 10 & No smoking,2
Hilo,Neighborhood room with a view,Private room,1180.0,3.0,3.0,No smoking,1
Anchorage,Comfortable sofa bed in chic apt,Shared room,1007.0,1.0,3.0,No children under 10 & No visitors,1
Florence,Spacious 1 bedroom in washington heights,Entire home/apt,933.0,3.0,3.0,No smoking & No pets,3
Brownsville,"Les - quiet, comfy, and large private bedroom",Private room,438.0,1.0,4.0,No visitors & No children under 10,1
St. Cloud,Modern clean beautiful 15min to center of city,Entire home/apt,274.0,2.0,5.0,No pets & No parties,3
Louisville,"Beautiful 1 bedroom apart, washington heights",Private room,69.0,7.0,2.0,No visitors,2
Milwaukee,"Spacious 1 bedroom in midwood, bk!",Private room,1125.0,1.0,1.0,No children under 10,1
Stillwater,Luxury upper west side studio,Entire home/apt,1136.0,30.0,3.0,No children under 10,3
State College,Charming 1br in ues townhouse,Entire home/apt,1134.0,30.0,2.0,No smoking,4
Yuma,Cozy centrally located private room in bushwhick,Private room,147.0,2.0,1.0,No children under 10 & No smoking & No pets,2
Cleveland,Rare gem of an apartment in city.  so spacious!,Private room,918.0,3.0,5.0,No parties & No children under 10,1
Miami,Cozy two-bedroom apt in a cute house in city!,Private room,99.0,4.0,4.0,No children under 10,1
Elmira,Accessible between downtownuare & park,Private room,1111.0,1.0,4.0,No smoking,1
Peoria,Private room in upper city near city college.,Private room,62.0,8.0,2.0,No visitors & No children under 10 & No parties,2
Mason City,Jestina's place: private bedroom &  livingroom!,Private room,849.0,1.0,5.0,No visitors,1
Waterloo,Spacious private space in upper city,Private room,153.0,4.0,3.0,No pets,1
College Station,Beautiful new apartment located in neighborhood,Private room,683.0,7.0,3.0,No pets,2
Lansing,Brand new amazing 1 bedroom best location,Entire home/apt,1168.0,30.0,5.0,No visitors & No children under 10 & No smoking,8
Mosinee,Luxury brownstone in boerum hill,Entire home/apt,744.0,3.0,2.0,No smoking,7
Panama City,Plant-filled colorful neighborhood bedroom!,Private room,638.0,5.0,2.0,No smoking & No parties,1
Reno,Bedroom with private access to patio,Private room,77.0,10.0,2.0,No parties,2
Albuquerque,Sweet historic neighborhood duplex,Entire home/apt,753.0,3.0,2.0,No parties & No children under 10,7
Hilo,♥private master bath | express train+free parking☆,Entire home/apt,579.0,1.0,3.0,No smoking,5
Redding,"Modern, bright 1 br city apt - great location!",Entire home/apt,1033.0,2.0,5.0,No parties & No pets,9
Jacksonville,Huge loft - heart of neighborhood,Entire home/apt,518.0,2.0,3.0,No smoking,4
Fargo,Your private space in city,Private room,859.0,1.0,3.0,No pets & No children under 10,2
Kalamazoo,"East 63rd street, studio serviced apartment",Entire home/apt,417.0,30.0,3.0,No parties & No visitors & No pets,4
Bemidji,"Walk everywhere, see everything!
2br neighborhood west",Private room,1016.0,1.0,4.0,No parties,1
Cedar City,Hamilton heights abode,Private room,601.0,7.0,4.0,No children under 10,1
Baltimore,"Contemporary home away from home, entire house",Entire home/apt,290.0,2.0,3.0,No visitors,2
Pocatello,Stunning 1-bedroom city apartment on the river!,Entire home/apt,68.0,30.0,2.0,No children under 10,3
Kansas City,Beautiful large floor-through apartment,Entire home/apt,769.0,3.0,5.0,No children under 10,4
Greensboro,Private bed and bath for two!,Private room,343.0,3.0,4.0,No visitors & No pets,1
Dillingham,Madison avenue 1 bedroom suite,Entire home/apt,166.0,30.0,3.0,No children under 10,2
Lewiston,Cozy 1bd in a cool neighborhood.,Entire home/apt,1193.0,3.0,1.0,No visitors,8
St. Cloud,The gramercy east,Entire home/apt,1031.0,2.0,4.0,No pets,10
Arcata,Amazing city,Private room,905.0,7.0,3.0,No smoking & No parties & No visitors,1
San Jose,A4long island city big room great location,Private room,808.0,1.0,2.0,No visitors & No pets,2
Ogden,Unique prime location city  sleeps 6,Entire home/apt,196.0,3.0,3.0,No smoking & No children under 10 & No pets,2
Palm Springs,Sunlit charming studio in park slope,Entire home/apt,812.0,30.0,5.0,No visitors,2
Lincoln,Master bedroom in quaint french neighborhood,Private room,543.0,1.0,1.0,No smoking & No children under 10,2
Bristol,Room with its private bathroom and garden access,Private room,1114.0,3.0,1.0,No children under 10 & No pets & No parties,2
Wichita,"Secret garden apartment in bed stuy, city",Entire home/apt,214.0,2.0,4.0,No smoking & No children under 10,3
Idaho Falls,Sun & spacious 2 bdrm apt,Entire home/apt,914.0,4.0,3.0,No smoking,9
Detroit,Cozy 1 bedroom in the heart of neighborhood,Entire home/apt,751.0,3.0,5.0,No pets & No parties,6
Abilene,"Joyce and donovan's, room for one",Private room,83.0,25.0,2.0,No parties,2
St. George,"Luxury 1br in downtownuare ""urban oasis""",Entire home/apt,383.0,4.0,5.0,No pets & No visitors,2
Kahului,Beautiful brownstone in boerum hill,Entire home/apt,1165.0,3.0,1.0,No parties,9
Norfolk,Hudson yard - lux king room,Private room,1066.0,1.0,2.0,No smoking,1
Omaha,City hub guestroom: train @ 900ft; neighborhood 30min!,Private room,216.0,2.0,4.0,No parties,2
Tucson,Cozy place to stay 7 minutes from city...,Private room,912.0,3.0,3.0,No pets,2
Panama City,Place of peace,Private room,1062.0,1.0,2.0,No children under 10 & No smoking & No parties,2
San Juan,*winter discount neighborhood chic w/private patio,Entire home/apt,200.0,3.0,2.0,No parties & No pets,3
Lewisburg,Sun and bright room,Private room,667.0,2.0,2.0,No children under 10 & No parties & No smoking,1
Miami,"""hello city"" park side view newly reno apt.",Entire home/apt,789.0,1.0,5.0,No parties & No visitors,6
West Yellowstone,"Clean, cozy bedroom in luxury building",Private room,56.0,1.0,4.0,No children under 10,2
Kalamazoo,"Sun, 1 bedroom in bedstuy, city",Entire home/apt,160.0,7.0,4.0,No smoking,2
Aberdeen,Beautiful 1br in the heart of the neighborhood,Private room,210.0,5.0,5.0,No visitors & No smoking & No children under 10,2
Cedar Rapids,Large city room billionaires row 5 min centralpark!,Private room,492.0,3.0,1.0,No parties & No smoking,1
Texarkana,"Sun airy bohemian rm, private bath! hip 'shwick",Private room,592.0,2.0,4.0,No smoking,2
Dickinson,Sun one bedroom on the upper east side,Entire home/apt,336.0,2.0,1.0,No children under 10,2
Knoxville,The diamond room,Private room,1008.0,1.0,5.0,No parties & No visitors,1
Scottsbluff,"Clean & bright 1br in cobble hill, great location!",Entire home/apt,316.0,2.0,2.0,No smoking & No children under 10,3
Sitka,Whole apartment & 2 cats!,Entire home/apt,93.0,3.0,5.0,No visitors & No children under 10,3
Salisbury,Newly renovated shared room in great neighborhood2,Shared room,769.0,30.0,2.0,No smoking,1
Billings,和缘浪漫民宿,Private room,897.0,1.0,3.0,No children under 10 & No parties & No visitors,1
Elko,Neighborhood east,Entire home/apt,1145.0,3.0,3.0,No parties & No pets,9
Stockton,Gorgeous city bedroom with luxury decor,Private room,920.0,2.0,4.0,No children under 10 & No pets & No smoking,2
Presque Isle,"Steps to airport, near citifield, airport city(rm 3)",Private room,470.0,1.0,4.0,No children under 10,2
Charleston,Smart home in the heart of neighborhood,Entire home/apt,499.0,2.0,2.0,No pets,3
Bemidji,Master private bathroom - 2 beds - next to metro,Private room,543.0,30.0,2.0,No pets,1
Santa Ana,Sun-filled artist home 1br in convenient l.i.c !,Entire home/apt,1065.0,2.0,5.0,No children under 10,5
Green Bay,Discount! central clean & quiet,Private room,405.0,4.0,3.0,No parties,1
Champaign,Bsm2. shares basement,Shared room,743.0,2.0,4.0,No pets,1
Bend,Sun private rm in neighborhood,Private room,284.0,2.0,4.0,No parties & No pets,1
Gainesville,Spacious yet cozy room in city,Private room,566.0,3.0,4.0,No visitors,2
Hibbing,Luxurious three bedroom,Entire home/apt,286.0,3.0,2.0,No parties & No pets,2
Harrisburg,Cozy nolita apartment,Entire home/apt,170.0,2.0,2.0,No smoking & No parties,3
Long Beach,Spectacular one bedroom close to park,Entire home/apt,180.0,31.0,1.0,No parties,3
Huntsville,"City charmer, close to everything city!",Entire home/apt,568.0,2.0,4.0,No children under 10 & No parties,5
Bend,Luxury studio apt overlooking the hudson river,Entire home/apt,1183.0,30.0,1.0,No visitors,8
Barrow,Modern city lifestyle,Entire home/apt,954.0,1.0,2.0,No pets,6
State College,Niceroomniceneighborhoodclosemaimonideshospital,Private room,845.0,1.0,5.0,No pets,1
Moline,Sun duplex near park,Entire home/apt,541.0,1.0,1.0,No pets,5
Devils Lake,Charming cobble hill brownstone apartment,Entire home/apt,220.0,2.0,4.0,No pets,3
Gainesville,Spacious upper east side 1br apt near attractions,Entire home/apt,119.0,30.0,2.0,No visitors,2
Concord,Fully renovated 1 bedroom apartment,Entire home/apt,462.0,1.0,5.0,No children under 10,2
Owensboro,Amazing view of city,Entire home/apt,368.0,3.0,5.0,No smoking & No visitors,2
Syracuse,Nice room,Private room,564.0,2.0,3.0,No smoking,2
Kansas City,City brownstone duplex + garden,Entire home/apt,126.0,7.0,5.0,No pets,2
Presque Isle,"Huge, clean city room with lots of light",Private room,576.0,2.0,3.0,No pets,1
Walla Walla,Room 4 -sun cozy room in historic victorian home,Private room,1196.0,2.0,4.0,No parties & No children under 10,2
Moline,"Quiet, private and sun in neighborhood",Entire home/apt,492.0,2.0,2.0,No children under 10,4
Provo,Private basement studio with backyard access.,Private room,663.0,3.0,2.0,No children under 10,2
Jamestown,Cozy apt close to airport & airport and transportation,Entire home/apt,652.0,2.0,3.0,No children under 10,2
Spokane,Renovated 2 bedroom apartment,Entire home/apt,372.0,2.0,4.0,No parties & No visitors & No pets,2
Iron Mountain,Friendly upper west side apartment,Entire home/apt,761.0,1.0,5.0,No pets & No children under 10 & No parties,6
Victoria,Large cozy bedroom near city & airport,Private room,266.0,28.0,4.0,No parties & No pets & No smoking,1
Dayton,Studio apartment; close to tourist attractions,Entire home/apt,769.0,2.0,4.0,No visitors & No smoking,6
Lexington,1 room in apt. near columbia univ.,Private room,470.0,2.0,2.0,No pets,2
Monroe,Amazing park one bedroom,Entire home/apt,330.0,3.0,5.0,No children under 10,3
Aspen,Sunlit park apartment,Entire home/apt,1144.0,6.0,3.0,No visitors,10
Cordova,Caribnb- charming stay in a private 2 family home,Private room,357.0,2.0,1.0,No pets & No smoking,2
Eau Claire,"Sun bedroom with balco, queens",Private room,524.0,1.0,4.0,No pets,2
Orlando,"Sixth ave neighborhood, studio serviced apartment",Entire home/apt,70.0,30.0,2.0,No visitors & No pets,3
La Crosse,Great location-newly updated-great new features,Entire home/apt,255.0,3.0,4.0,No pets,2
Burbank,Pleasant 1 bedroom apartment in neighborhood brownstone,Entire home/apt,500.0,1.0,3.0,No parties & No smoking,5
Newburgh,Walking distance  to laguardia airport,Private room,854.0,1.0,1.0,No smoking & No visitors,2
State College,"Beautiful, newly furnished, luxury, grand central",Entire home/apt,210.0,30.0,4.0,No parties,2
San Juan,Flushing apt!! best deal in city!!!,Entire home/apt,135.0,1.0,5.0,No smoking & No parties,2
Lansing,"Spacious, sunlit, homey bedroom in wash. heights",Private room,417.0,7.0,3.0,No smoking,2
Champaign,Large private room in heart of bk,Private room,892.0,2.0,3.0,No children under 10 & No smoking,1
Montrose,Brownstone apt in historic city,Entire home/apt,139.0,2.0,1.0,No parties & No smoking & No pets,3
Atlantic City,Plant-filled 1 bd by prospect park,Entire home/apt,1100.0,1.0,2.0,No children under 10,8
Reno,87st 204,Private room,921.0,30.0,3.0,No children under 10,2
Charlotte Amalie,Elegant studio in the heart of neighborhood,Entire home/apt,371.0,30.0,1.0,No visitors,2
Sioux Falls,Cozy|  private studio | downtownaure,Entire home/apt,414.0,3.0,5.0,No parties & No visitors,3
Jamestown,City city city neighborhood convenient place,Entire home/apt,795.0,1.0,2.0,No visitors & No parties & No children under 10,6
Garden City,Sun studio apt in heart of soho,Entire home/apt,97.0,20.0,2.0,No parties & No smoking,3
Mason City,"Sam and mala""s place",Entire home/apt,82.0,3.0,4.0,No visitors & No smoking,2
Portland,The ocean view room size 12x14,Private room,709.0,5.0,2.0,No parties,1
Rockford,Spacious 3bdr prime location!,Entire home/apt,1030.0,2.0,2.0,No smoking,9
Springfield,Spacious cozy private room close to park,Private room,916.0,1.0,4.0,No smoking,2
Muskegon,Neighborhood jazz (private bath),Private room,97.0,1.0,4.0,No smoking,2
Corpus Christi,Penthouse apartment in neighborhood,Entire home/apt,412.0,2.0,1.0,No children under 10,3
Ketchikan,Sun neighborhood w balco - long term rental,Entire home/apt,874.0,15.0,2.0,No pets & No visitors & No parties,3
Newburgh,Book it vintage!,Private room,263.0,2.0,5.0,No smoking,2
Grand Island,Two bedrooms in bright city home,Private room,302.0,3.0,5.0,No pets,1
Pensacola,Charming one bedroom apt in les/chinatown,Entire home/apt,430.0,4.0,1.0,No parties & No children under 10,4
Charlottesville,Neighborhood hidden gem,Entire home/apt,391.0,1.0,4.0,No visitors & No smoking,2
Stillwater,Luxury building- 2br/2ba in neighborhood,Entire home/apt,560.0,1.0,1.0,No pets & No parties & No visitors,4
Yakutat,Les neighborhood spacious getaway,Entire home/apt,659.0,4.0,1.0,No smoking & No visitors,5
Decatur,Cozy private room,Private room,69.0,2.0,4.0,No children under 10 & No parties & No visitors,2
Provo,Modern room in neighborhood,Private room,515.0,1.0,4.0,No pets & No visitors,2
Kansas City,H. potter theme place,Entire home/apt,85.0,10.0,1.0,No visitors,3
Cody,Beautiful bedroom near barclays!,Private room,710.0,3.0,3.0,No smoking,2
Watertown,Comfortable room near the center of city.,Private room,980.0,2.0,3.0,No pets & No smoking,2
New Orleans,Lovely one bedroom apartment 20 min to city,Entire home/apt,186.0,4.0,3.0,No parties,2
Palm Springs,"Entire pvt 3br townhouse apt, city.❤️❤️❤️❤️❤️",Entire home/apt,499.0,28.0,2.0,No children under 10,4
Saipan,Hostal: 1 full size mattress bottom floor bunk bed,Shared room,1053.0,4.0,5.0,No smoking & No pets,1
Kearney,Spotless clean room private entrance  paid parking,Private room,492.0,2.0,1.0,No smoking,2
Eagle,Waterfront private bedroom & private bathroom.,Private room,508.0,2.0,3.0,No smoking,2
Rhinelander,Cozy modern studio in heart of les,Entire home/apt,699.0,2.0,5.0,No smoking,5
Belleville,1 bedroom/1 bath apt in hudson yards/neighborhood west,Entire home/apt,610.0,1.0,2.0,No parties & No pets,2
Moab,Cozy cool room in city apt / city,Private room,241.0,1.0,3.0,No children under 10,2
Mission,Lovely & sun 2 bedroom home,Entire home/apt,73.0,1.0,3.0,No children under 10,3
Worcester,Backpackers dream for 1 at the funky loft,Private room,244.0,3.0,4.0,No visitors,2
Grand Junction,Lovely 1 bd on the upper west side,Entire home/apt,854.0,1.0,4.0,No children under 10,3
Manchester,Super great neighborhood apartment- private room,Private room,1172.0,1.0,5.0,No visitors & No smoking,1
Phoenix,1 br in carroll gardens townhouse,Private room,397.0,2.0,4.0,No visitors & No smoking,1
Colorado Springs,Large sun park slope apartment,Entire home/apt,82.0,1.0,5.0,No smoking & No parties & No pets,3
El Paso,"Upper west / morningside heights apt, near subway",Entire home/apt,290.0,3.0,3.0,No smoking,2
Tyler,Oversized studio in the heart of neighborhood,Entire home/apt,505.0,2.0,2.0,No pets,5
Greenville,Huge bedroom available in artsy neighborhood,Private room,696.0,1.0,3.0,No parties & No children under 10,1
Twin Falls,"Charming studio, great location!!!",Entire home/apt,994.0,2.0,5.0,No smoking & No pets,8
Daytona Beach,Elegant brownstone duplex,Entire home/apt,217.0,3.0,1.0,No smoking,3
Laredo,Your home with view in neighborhood!,Entire home/apt,320.0,3.0,1.0,No pets,2
Baltimore,Cute family friendly vintage brownstone living!!,Shared room,920.0,2.0,1.0,No parties & No children under 10,1
West Palm Beach,City apartment,Private room,988.0,2.0,5.0,No visitors,2
Alpena,Ultimate 50th floor downtown penthouse  - 4000sqft,Entire home/apt,1043.0,2.0,4.0,No smoking & No visitors & No children under 10,9
