flight_number,price,departure_time,arrival_time,actual_elapsed_time,flight_date,departure_city,arrival_city,distance
F3496478,505,14:28,21:47,4 hours 19 minutes,2022-03-19,Los Angeles,Detroit,1979.0
F3496479,475,14:32,21:47,4 hours 15 minutes,2022-03-20,Los Angeles,Detroit,1979.0
F3496819,61,05:59,07:12,1 hours 13 minutes,2022-03-07,Boston,New York,184.0
F3496820,46,05:56,07:11,1 hours 15 minutes,2022-03-08,Boston,New York,184.0
F3496821,53,05:58,07:12,1 hours 14 minutes,2022-03-09,Boston,New York,184.0
F3496822,46,06:00,07:47,1 hours 47 minutes,2022-03-10,Boston,New York,184.0
F3496823,49,05:57,07:30,1 hours 33 minutes,2022-03-11,Boston,New York,184.0
F3496900,132,08:06,09:40,1 hours 34 minutes,2022-03-13,West Palm Beach,Atlanta,545.0
F3496901,168,08:00,09:39,1 hours 39 minutes,2022-03-14,West Palm Beach,Atlanta,545.0
F3496902,126,08:00,09:47,1 hours 47 minutes,2022-03-15,West Palm Beach,Atlanta,545.0
F3497201,247,20:30,22:07,1 hours 37 minutes,2022-03-13,Atlanta,West Palm Beach,545.0
F3497202,220,19:42,21:22,1 hours 40 minutes,2022-03-14,Atlanta,West Palm Beach,545.0
F3497203,121,19:42,21:36,1 hours 54 minutes,2022-03-15,Atlanta,West Palm Beach,545.0
F3498430,203,07:44,09:22,1 hours 38 minutes,2022-03-15,Minneapolis,St. Louis,448.0
F3498431,200,10:14,11:47,1 hours 33 minutes,2022-03-15,St. Louis,Minneapolis,448.0
F3498432,116,07:44,09:06,1 hours 22 minutes,2022-03-16,Minneapolis,St. Louis,448.0
F3498433,142,10:12,11:37,1 hours 25 minutes,2022-03-16,St. Louis,Minneapolis,448.0
F3498434,117,07:41,09:18,1 hours 37 minutes,2022-03-17,Minneapolis,St. Louis,448.0
F3498435,189,10:14,11:35,1 hours 21 minutes,2022-03-17,St. Louis,Minneapolis,448.0
F3499114,220,06:09,08:36,1 hours 27 minutes,2022-03-15,Nashville,Detroit,456.0
F3499115,219,06:14,08:50,1 hours 36 minutes,2022-03-16,Nashville,Detroit,456.0
F3499116,196,06:03,08:47,1 hours 44 minutes,2022-03-17,Nashville,Detroit,456.0
F3499479,151,05:56,07:12,1 hours 16 minutes,2022-03-02,Daytona Beach,Atlanta,366.0
F3499480,108,05:58,07:09,1 hours 11 minutes,2022-03-03,Daytona Beach,Atlanta,366.0
F3499481,129,06:01,07:34,1 hours 33 minutes,2022-03-04,Daytona Beach,Atlanta,366.0
F3499797,691,21:12,23:16,5 hours 4 minutes,2022-03-14,Atlanta,Sacramento,2092.0
F3500522,253,06:16,08:16,2 hours 0 minutes,2022-03-21,San Francisco,Seattle,679.0
F3500523,154,06:07,08:22,2 hours 15 minutes,2022-03-22,San Francisco,Seattle,679.0
F3500524,203,06:06,08:04,1 hours 58 minutes,2022-03-23,San Francisco,Seattle,679.0
F3500646,294,21:16,23:15,1 hours 59 minutes,2022-03-02,Atlanta,Buffalo,712.0
F3500647,309,21:22,23:28,2 hours 6 minutes,2022-03-03,Atlanta,Buffalo,712.0
F3500648,329,21:24,23:26,2 hours 2 minutes,2022-03-04,Atlanta,Buffalo,712.0
F3500752,448,22:29,05:44,4 hours 15 minutes,2022-03-18,Los Angeles,Detroit,1979.0
F3500753,810,22:11,05:19,4 hours 8 minutes,2022-03-20,Los Angeles,Detroit,1979.0
F3501627,170,09:25,11:34,2 hours 9 minutes,2022-03-19,New York,Charleston,641.0
F3502690,172,15:48,17:46,1 hours 58 minutes,2022-03-02,Atlanta,Buffalo,712.0
F3502691,240,18:48,20:51,2 hours 3 minutes,2022-03-02,Buffalo,Atlanta,712.0
F3502692,264,15:45,17:41,1 hours 56 minutes,2022-03-03,Atlanta,Buffalo,712.0
F3502693,252,18:51,20:41,1 hours 50 minutes,2022-03-03,Buffalo,Atlanta,712.0
F3502694,209,15:47,17:42,1 hours 55 minutes,2022-03-04,Atlanta,Buffalo,712.0
F3502695,210,18:55,20:50,1 hours 55 minutes,2022-03-04,Buffalo,Atlanta,712.0
F3502720,595,08:41,13:46,3 hours 5 minutes,2022-03-29,Seattle,Minneapolis,1399.0
F3502721,680,08:48,14:01,3 hours 13 minutes,2022-03-30,Seattle,Minneapolis,1399.0
F3502722,364,08:47,14:03,3 hours 16 minutes,2022-03-31,Seattle,Minneapolis,1399.0
F3504525,774,17:17,23:08,3 hours 51 minutes,2022-03-18,Denver,New York,1620.0
F3504527,742,16:35,22:10,3 hours 35 minutes,2022-03-20,Denver,New York,1620.0
F3504528,457,16:20,21:42,3 hours 22 minutes,2022-03-21,Denver,New York,1620.0
F3504529,346,16:32,22:06,3 hours 34 minutes,2022-03-22,Denver,New York,1620.0
F3505544,223,08:12,09:12,2 hours 0 minutes,2022-03-24,Atlanta,Chicago,606.0
F3505545,202,10:19,13:11,1 hours 52 minutes,2022-03-24,Chicago,Atlanta,606.0
F3505546,155,07:15,08:12,1 hours 57 minutes,2022-03-25,Atlanta,Chicago,606.0
F3505547,287,09:36,12:16,1 hours 40 minutes,2022-03-25,Chicago,Atlanta,606.0
F3505548,128,07:13,08:14,2 hours 1 minutes,2022-03-26,Atlanta,Chicago,606.0
F3505549,155,09:28,12:58,2 hours 30 minutes,2022-03-26,Chicago,Atlanta,606.0
F3507465,38,14:53,15:54,1 hours 1 minutes,2022-03-07,New York,Boston,187.0
F3507466,47,14:56,16:14,1 hours 18 minutes,2022-03-08,New York,Boston,187.0
F3507467,84,14:54,17:03,2 hours 9 minutes,2022-03-09,New York,Boston,187.0
F3507468,74,14:52,16:00,1 hours 8 minutes,2022-03-10,New York,Boston,187.0
F3507469,84,14:47,15:44,0 hours 57 minutes,2022-03-11,New York,Boston,187.0
F3509453,258,13:15,13:54,1 hours 39 minutes,2022-03-24,Atlanta,Chicago,606.0
F3509454,204,15:19,18:06,1 hours 47 minutes,2022-03-24,Chicago,Atlanta,606.0
F3509455,147,12:59,13:53,1 hours 54 minutes,2022-03-25,Atlanta,Chicago,606.0
F3509456,143,15:11,17:50,1 hours 39 minutes,2022-03-25,Chicago,Atlanta,606.0
F3509457,221,13:04,14:01,1 hours 57 minutes,2022-03-26,Atlanta,Chicago,606.0
F3509458,241,15:17,17:51,1 hours 34 minutes,2022-03-26,Chicago,Atlanta,606.0
F3509965,349,00:41,05:48,3 hours 7 minutes,2022-03-29,Seattle,Minneapolis,1399.0
F3509966,429,00:42,05:47,3 hours 5 minutes,2022-03-30,Seattle,Minneapolis,1399.0
F3509967,372,00:44,06:19,3 hours 35 minutes,2022-03-31,Seattle,Minneapolis,1399.0
F3510904,520,06:55,14:09,4 hours 14 minutes,2022-03-14,Sacramento,Atlanta,2092.0
F3510905,1032,06:58,14:18,4 hours 20 minutes,2022-03-15,Sacramento,Atlanta,2092.0
F3510906,956,06:58,14:18,4 hours 20 minutes,2022-03-16,Sacramento,Atlanta,2092.0
F3513047,664,16:58,18:44,4 hours 46 minutes,2022-03-14,Atlanta,Sacramento,2092.0
F3514187,322,06:51,08:40,1 hours 49 minutes,2022-03-02,Buffalo,Atlanta,712.0
F3514188,312,06:30,08:55,2 hours 25 minutes,2022-03-03,Buffalo,Atlanta,712.0
F3514189,330,06:27,08:38,2 hours 11 minutes,2022-03-04,Buffalo,Atlanta,712.0
F3514338,597,13:48,19:03,3 hours 15 minutes,2022-03-29,Seattle,Minneapolis,1399.0
F3514339,659,13:47,19:04,3 hours 17 minutes,2022-03-30,Seattle,Minneapolis,1399.0
F3514340,306,13:45,19:01,3 hours 16 minutes,2022-03-31,Seattle,Minneapolis,1399.0
F3515561,601,09:47,15:32,3 hours 45 minutes,2022-03-18,Denver,New York,1620.0
F3515562,527,12:14,17:50,3 hours 36 minutes,2022-03-19,Denver,New York,1620.0
F3515563,776,09:55,15:19,3 hours 24 minutes,2022-03-20,Denver,New York,1620.0
F3515564,373,09:50,15:22,3 hours 32 minutes,2022-03-21,Denver,New York,1620.0
F3515565,377,09:54,15:19,3 hours 25 minutes,2022-03-22,Denver,New York,1620.0
F3516411,70,05:55,07:09,1 hours 14 minutes,2022-03-07,Boston,New York,187.0
F3516412,67,06:00,07:20,1 hours 20 minutes,2022-03-08,Boston,New York,187.0
F3516413,83,05:57,07:23,1 hours 26 minutes,2022-03-09,Boston,New York,187.0
F3516414,86,07:19,09:01,1 hours 42 minutes,2022-03-10,Boston,New York,187.0
F3516415,61,06:00,07:20,1 hours 20 minutes,2022-03-11,Boston,New York,187.0
F3517128,35,05:26,06:12,0 hours 46 minutes,2022-03-29,Knoxville,Atlanta,152.0
F3517129,58,05:28,06:17,0 hours 49 minutes,2022-03-30,Knoxville,Atlanta,152.0
F3517130,30,05:32,06:28,0 hours 56 minutes,2022-03-31,Knoxville,Atlanta,152.0
F3518034,215,10:14,11:07,1 hours 53 minutes,2022-03-24,Atlanta,Chicago,606.0
F3518035,123,12:26,15:12,1 hours 46 minutes,2022-03-24,Chicago,Atlanta,606.0
F3518036,215,10:18,11:25,2 hours 7 minutes,2022-03-25,Atlanta,Chicago,606.0
F3518037,124,12:28,15:06,1 hours 38 minutes,2022-03-25,Chicago,Atlanta,606.0
F3518038,188,10:16,11:20,2 hours 4 minutes,2022-03-26,Atlanta,Chicago,606.0
F3518039,151,12:40,15:25,1 hours 45 minutes,2022-03-26,Chicago,Atlanta,606.0
F3518331,905,05:46,12:57,4 hours 11 minutes,2022-03-18,Los Angeles,Detroit,1979.0
F3518332,813,05:39,13:07,4 hours 28 minutes,2022-03-19,Los Angeles,Detroit,1979.0
F3518333,757,05:38,12:46,4 hours 8 minutes,2022-03-20,Los Angeles,Detroit,1979.0
F3518388,37,17:44,18:26,0 hours 42 minutes,2022-03-07,Atlanta,Chattanooga,106.0
F3518389,43,19:18,20:15,0 hours 57 minutes,2022-03-07,Chattanooga,Atlanta,106.0
F3518806,762,20:59,22:50,4 hours 51 minutes,2022-03-07,Detroit,San Diego,1956.0
F3518894,30,17:10,18:02,0 hours 52 minutes,2022-03-31,Atlanta,Knoxville,152.0
F3518895,45,18:47,19:44,0 hours 57 minutes,2022-03-31,Knoxville,Atlanta,152.0
F3519723,63,15:57,17:12,1 hours 15 minutes,2022-03-07,New York,Boston,184.0
F3519724,42,15:59,17:16,1 hours 17 minutes,2022-03-08,New York,Boston,184.0
F3519725,70,16:10,17:50,1 hours 40 minutes,2022-03-09,New York,Boston,184.0
F3519726,73,16:01,17:01,1 hours 0 minutes,2022-03-10,New York,Boston,184.0
F3519727,60,16:10,17:24,1 hours 14 minutes,2022-03-11,New York,Boston,184.0
F3519973,968,22:22,05:24,4 hours 2 minutes,2022-03-07,San Diego,Detroit,1956.0
F3520158,45,05:30,06:20,0 hours 50 minutes,2022-03-07,Chattanooga,Atlanta,106.0
F3520159,37,05:39,06:27,0 hours 48 minutes,2022-03-08,Chattanooga,Atlanta,106.0
F3520160,37,05:43,06:27,0 hours 44 minutes,2022-03-09,Chattanooga,Atlanta,106.0
F3520417,21,20:33,21:09,0 hours 36 minutes,2022-03-07,Atlanta,Chattanooga,106.0
F3520418,29,20:00,20:36,0 hours 36 minutes,2022-03-08,Atlanta,Chattanooga,106.0
F3520419,21,20:00,20:38,0 hours 38 minutes,2022-03-09,Atlanta,Chattanooga,106.0
F3522863,227,17:31,20:01,1 hours 30 minutes,2022-03-15,Nashville,Detroit,456.0
F3522864,160,16:00,16:31,1 hours 31 minutes,2022-03-15,Detroit,Nashville,456.0
F3522865,98,17:32,20:01,1 hours 29 minutes,2022-03-16,Nashville,Detroit,456.0
F3522866,177,15:59,16:30,1 hours 31 minutes,2022-03-16,Detroit,Nashville,456.0
F3522867,115,18:08,20:33,1 hours 25 minutes,2022-03-17,Nashville,Detroit,456.0
F3522868,168,16:55,17:19,1 hours 24 minutes,2022-03-17,Detroit,Nashville,456.0
F3523448,169,05:59,08:54,1 hours 55 minutes,2022-03-24,Chicago,Atlanta,606.0
F3523449,151,06:01,08:45,1 hours 44 minutes,2022-03-25,Chicago,Atlanta,606.0
F3523450,130,05:56,09:01,2 hours 5 minutes,2022-03-26,Chicago,Atlanta,606.0
F3524616,104,11:05,12:19,1 hours 14 minutes,2022-03-02,Atlanta,Daytona Beach,366.0
F3524617,113,13:13,14:35,1 hours 22 minutes,2022-03-02,Daytona Beach,Atlanta,366.0
F3524618,136,10:08,11:29,1 hours 21 minutes,2022-03-03,Atlanta,Daytona Beach,366.0
F3524619,89,12:27,13:41,1 hours 14 minutes,2022-03-03,Daytona Beach,Atlanta,366.0
F3524620,121,10:09,11:18,1 hours 9 minutes,2022-03-04,Atlanta,Daytona Beach,366.0
F3524621,176,12:25,13:52,1 hours 27 minutes,2022-03-04,Daytona Beach,Atlanta,366.0
F3524785,241,12:44,14:27,1 hours 43 minutes,2022-03-13,Atlanta,West Palm Beach,545.0
F3524786,257,15:01,18:15,3 hours 14 minutes,2022-03-13,West Palm Beach,Atlanta,545.0
F3524787,146,12:22,14:09,1 hours 47 minutes,2022-03-14,Atlanta,West Palm Beach,545.0
F3524788,145,15:24,17:12,1 hours 48 minutes,2022-03-14,West Palm Beach,Atlanta,545.0
F3524789,218,12:19,13:57,1 hours 38 minutes,2022-03-15,Atlanta,West Palm Beach,545.0
F3524790,178,15:15,16:59,1 hours 44 minutes,2022-03-15,West Palm Beach,Atlanta,545.0
F3525025,102,09:38,10:08,1 hours 30 minutes,2022-03-15,Detroit,Nashville,456.0
F3525026,117,09:08,09:36,1 hours 28 minutes,2022-03-16,Detroit,Nashville,456.0
F3525027,97,08:51,09:19,1 hours 28 minutes,2022-03-17,Detroit,Nashville,456.0
F3525129,129,16:27,17:38,1 hours 11 minutes,2022-03-02,Atlanta,Daytona Beach,366.0
F3525130,121,18:33,19:53,1 hours 20 minutes,2022-03-02,Daytona Beach,Atlanta,366.0
F3525131,174,16:26,17:33,1 hours 7 minutes,2022-03-03,Atlanta,Daytona Beach,366.0
F3525132,173,18:37,20:05,1 hours 28 minutes,2022-03-03,Daytona Beach,Atlanta,366.0
F3525133,118,16:42,17:50,1 hours 8 minutes,2022-03-04,Atlanta,Daytona Beach,366.0
F3525134,93,18:44,20:11,1 hours 27 minutes,2022-03-04,Daytona Beach,Atlanta,366.0
F3525319,139,09:11,10:49,1 hours 38 minutes,2022-03-13,Atlanta,West Palm Beach,545.0
F3525320,200,12:07,14:14,2 hours 7 minutes,2022-03-13,West Palm Beach,Atlanta,545.0
F3525321,143,08:55,10:32,1 hours 37 minutes,2022-03-14,Atlanta,West Palm Beach,545.0
F3525322,119,11:44,13:32,1 hours 48 minutes,2022-03-14,West Palm Beach,Atlanta,545.0
F3525323,120,09:10,10:43,1 hours 33 minutes,2022-03-15,Atlanta,West Palm Beach,545.0
F3525324,121,11:55,13:37,1 hours 42 minutes,2022-03-15,West Palm Beach,Atlanta,545.0
F3526653,453,08:51,10:11,3 hours 20 minutes,2022-03-29,Minneapolis,Seattle,1399.0
F3526654,478,08:54,11:01,4 hours 7 minutes,2022-03-30,Minneapolis,Seattle,1399.0
F3526655,652,08:54,10:43,3 hours 49 minutes,2022-03-31,Minneapolis,Seattle,1399.0
F3526891,418,06:10,11:58,3 hours 48 minutes,2022-03-18,Denver,New York,1626.0
F3526892,676,06:08,11:45,3 hours 37 minutes,2022-03-19,Denver,New York,1626.0
F3526893,605,06:13,11:44,3 hours 31 minutes,2022-03-20,Denver,New York,1626.0
F3526894,354,06:10,11:49,3 hours 39 minutes,2022-03-21,Denver,New York,1626.0
F3526895,718,06:05,11:31,3 hours 26 minutes,2022-03-22,Denver,New York,1626.0
F3527023,460,08:54,10:45,4 hours 51 minutes,2022-03-14,Atlanta,Sacramento,2092.0
F3527024,914,12:18,19:36,4 hours 18 minutes,2022-03-14,Sacramento,Atlanta,2092.0
F3527025,1004,09:28,11:19,4 hours 51 minutes,2022-03-15,Atlanta,Sacramento,2092.0
F3527026,963,12:27,19:53,4 hours 26 minutes,2022-03-15,Sacramento,Atlanta,2092.0
F3527027,995,08:56,10:42,4 hours 46 minutes,2022-03-16,Atlanta,Sacramento,2092.0
F3527028,480,12:14,19:49,4 hours 35 minutes,2022-03-16,Sacramento,Atlanta,2092.0
F3527324,430,15:52,17:22,3 hours 30 minutes,2022-03-29,Minneapolis,Seattle,1399.0
F3527325,662,16:14,18:05,3 hours 51 minutes,2022-03-30,Minneapolis,Seattle,1399.0
F3527326,321,16:11,17:47,3 hours 36 minutes,2022-03-31,Minneapolis,Seattle,1399.0
F3527439,686,11:00,12:29,3 hours 29 minutes,2022-03-29,Minneapolis,Seattle,1399.0
F3527440,544,11:44,13:17,3 hours 33 minutes,2022-03-30,Minneapolis,Seattle,1399.0
F3527441,393,11:00,12:38,3 hours 38 minutes,2022-03-31,Minneapolis,Seattle,1399.0
F3527935,615,12:54,19:45,3 hours 51 minutes,2022-03-05,San Diego,Detroit,1956.0
F3527936,572,13:15,20:08,3 hours 53 minutes,2022-03-06,San Diego,Detroit,1956.0
F3528018,618,18:52,20:16,3 hours 24 minutes,2022-03-29,Minneapolis,Seattle,1399.0
F3528019,629,18:58,20:20,3 hours 22 minutes,2022-03-30,Minneapolis,Seattle,1399.0
F3528020,631,19:55,21:19,3 hours 24 minutes,2022-03-31,Minneapolis,Seattle,1399.0
F3528439,299,15:43,16:46,2 hours 3 minutes,2022-03-24,Atlanta,Chicago,606.0
F3528440,148,17:59,20:54,1 hours 55 minutes,2022-03-24,Chicago,Atlanta,606.0
F3528441,155,15:44,16:35,1 hours 51 minutes,2022-03-25,Atlanta,Chicago,606.0
F3528442,133,17:59,20:38,1 hours 39 minutes,2022-03-25,Chicago,Atlanta,606.0
F3528443,198,15:39,16:35,1 hours 56 minutes,2022-03-26,Atlanta,Chicago,606.0
F3528444,254,17:58,20:31,1 hours 33 minutes,2022-03-26,Chicago,Atlanta,606.0
F3528556,720,08:33,10:36,5 hours 3 minutes,2022-03-05,Detroit,San Diego,1956.0
F3528557,678,08:22,10:25,5 hours 3 minutes,2022-03-06,Detroit,San Diego,1956.0
F3528558,875,12:55,19:37,3 hours 42 minutes,2022-03-07,San Diego,Detroit,1956.0
F3528754,152,20:13,23:07,1 hours 54 minutes,2022-03-24,Chicago,Atlanta,606.0
F3528755,194,19:55,22:39,1 hours 44 minutes,2022-03-25,Chicago,Atlanta,606.0
F3528856,67,13:55,14:46,0 hours 51 minutes,2022-03-29,Atlanta,Knoxville,152.0
F3528857,66,13:54,14:37,0 hours 43 minutes,2022-03-30,Atlanta,Knoxville,152.0
F3528858,36,14:01,14:46,0 hours 45 minutes,2022-03-31,Atlanta,Knoxville,152.0
F3528859,35,15:26,16:12,0 hours 46 minutes,2022-03-31,Knoxville,Atlanta,152.0
F3529147,678,17:16,19:17,4 hours 1 minutes,2022-03-18,New York,Denver,1620.0
F3529148,334,20:24,23:16,4 hours 52 minutes,2022-03-19,New York,Denver,1620.0
F3529149,650,17:00,19:06,4 hours 6 minutes,2022-03-20,New York,Denver,1620.0
F3529150,724,16:59,19:27,4 hours 28 minutes,2022-03-21,New York,Denver,1620.0
F3529151,627,16:56,19:29,4 hours 33 minutes,2022-03-22,New York,Denver,1620.0
F3529312,519,06:08,11:18,3 hours 10 minutes,2022-03-29,Seattle,Minneapolis,1399.0
F3529313,640,06:14,11:27,3 hours 13 minutes,2022-03-30,Seattle,Minneapolis,1399.0
F3529314,378,06:21,11:31,3 hours 10 minutes,2022-03-31,Seattle,Minneapolis,1399.0
F3529739,409,08:29,10:25,4 hours 56 minutes,2022-03-07,Detroit,San Diego,1956.0
F3531077,517,06:22,07:48,3 hours 26 minutes,2022-03-29,Minneapolis,Seattle,1399.0
F3531078,574,06:48,08:37,3 hours 49 minutes,2022-03-30,Minneapolis,Seattle,1399.0
F3531079,695,06:26,08:10,3 hours 44 minutes,2022-03-31,Minneapolis,Seattle,1399.0
F3531474,119,17:05,18:39,1 hours 34 minutes,2022-03-14,Atlanta,West Palm Beach,545.0
F3531475,197,19:57,21:41,1 hours 44 minutes,2022-03-14,West Palm Beach,Atlanta,545.0
F3531476,249,17:02,18:35,1 hours 33 minutes,2022-03-15,Atlanta,West Palm Beach,545.0
F3531477,213,20:07,22:04,1 hours 57 minutes,2022-03-15,West Palm Beach,Atlanta,545.0
F3531555,85,17:23,18:50,1 hours 27 minutes,2022-03-07,Boston,New York,187.0
F3531556,83,17:22,18:50,1 hours 28 minutes,2022-03-08,Boston,New York,187.0
F3531557,84,18:01,19:49,1 hours 48 minutes,2022-03-09,Boston,New York,187.0
F3531558,52,17:19,18:34,1 hours 15 minutes,2022-03-10,Boston,New York,187.0
F3531559,77,17:24,18:47,1 hours 23 minutes,2022-03-11,Boston,New York,187.0
F3531916,667,22:41,05:30,3 hours 49 minutes,2022-03-06,San Diego,Detroit,1956.0
F3533661,395,11:47,17:16,3 hours 29 minutes,2022-03-29,Seattle,Minneapolis,1399.0
F3533662,329,11:34,16:57,3 hours 23 minutes,2022-03-30,Seattle,Minneapolis,1399.0
F3533663,450,11:40,16:58,3 hours 18 minutes,2022-03-31,Seattle,Minneapolis,1399.0
F3534033,225,19:43,21:42,1 hours 59 minutes,2022-03-21,Seattle,San Francisco,679.0
F3534034,154,19:51,21:54,2 hours 3 minutes,2022-03-22,Seattle,San Francisco,679.0
F3534035,269,19:35,21:41,2 hours 6 minutes,2022-03-23,Seattle,San Francisco,679.0
F3534442,273,07:51,10:43,1 hours 52 minutes,2022-03-24,Chicago,Atlanta,606.0
F3534443,189,07:51,10:37,1 hours 46 minutes,2022-03-25,Chicago,Atlanta,606.0
F3534444,132,07:48,10:47,1 hours 59 minutes,2022-03-26,Chicago,Atlanta,606.0
F3535984,229,22:56,00:28,1 hours 32 minutes,2022-03-13,Atlanta,West Palm Beach,545.0
F3535985,223,22:44,00:34,1 hours 50 minutes,2022-03-14,Atlanta,West Palm Beach,545.0
F3535986,109,22:40,00:18,1 hours 38 minutes,2022-03-15,Atlanta,West Palm Beach,545.0
F3536542,417,16:37,18:06,4 hours 29 minutes,2022-03-18,Detroit,Los Angeles,1979.0
F3536543,826,17:25,19:06,4 hours 41 minutes,2022-03-20,Detroit,Los Angeles,1979.0
F3537375,74,23:03,23:44,0 hours 41 minutes,2022-03-29,Atlanta,Knoxville,152.0
F3537376,57,23:20,00:05,0 hours 45 minutes,2022-03-30,Atlanta,Knoxville,152.0
F3537377,47,23:47,00:34,0 hours 47 minutes,2022-03-31,Atlanta,Knoxville,152.0
F3537841,562,22:02,23:45,4 hours 43 minutes,2022-03-18,Detroit,Los Angeles,1979.0
F3537842,541,21:35,23:24,4 hours 49 minutes,2022-03-19,Detroit,Los Angeles,1979.0
F3537843,551,21:52,23:38,4 hours 46 minutes,2022-03-20,Detroit,Los Angeles,1979.0
F3538108,446,19:15,21:16,5 hours 1 minutes,2022-03-20,Detroit,Los Angeles,1979.0
F3539155,184,22:16,23:55,1 hours 39 minutes,2022-03-13,Atlanta,West Palm Beach,545.0
F3539156,211,21:26,23:09,1 hours 43 minutes,2022-03-14,Atlanta,West Palm Beach,545.0
F3539157,162,21:37,23:17,1 hours 40 minutes,2022-03-15,Atlanta,West Palm Beach,545.0
F3540824,30,10:20,11:05,0 hours 45 minutes,2022-03-07,Atlanta,Chattanooga,106.0
F3540825,40,10:00,10:39,0 hours 39 minutes,2022-03-08,Atlanta,Chattanooga,106.0
F3540826,28,10:03,10:43,0 hours 40 minutes,2022-03-09,Atlanta,Chattanooga,106.0
F3541073,39,14:49,15:27,0 hours 38 minutes,2022-03-07,Atlanta,Chattanooga,106.0
F3541074,24,16:33,17:21,0 hours 48 minutes,2022-03-07,Chattanooga,Atlanta,106.0
F3541234,682,18:16,20:15,4 hours 59 minutes,2022-03-19,Detroit,Los Angeles,1979.0
F3541758,248,07:01,08:48,1 hours 47 minutes,2022-03-13,West Palm Beach,Atlanta,545.0
F3541759,255,05:57,07:42,1 hours 45 minutes,2022-03-14,West Palm Beach,Atlanta,545.0
F3541760,162,05:58,07:41,1 hours 43 minutes,2022-03-15,West Palm Beach,Atlanta,545.0
